Date,CPIH 12-month inflation rate,Type,Value
Apr-22,7.8,Alcohol and tobacco,0.17
Apr-22,7.8,Clothing and footwear,0.48
Apr-22,7.8,Housing and household services,2.76
Apr-22,7.8,Furniture and household goods,0.57
Apr-22,7.8,Transport,1.47
Apr-22,7.8,Recreation and culture,0.64
Apr-22,7.8,Restaurants and hotels,0.64
Apr-22,7.8,Other goods and services,0.44
May-22,7.9,Food and non-alcoholic beverages,0.78
May-22,7.9,Alcohol and tobacco,0.19
May-22,7.9,Clothing and footwear,0.4
May-22,7.9,Housing and household services,2.79
May-22,7.9,Furniture and household goods,0.6
May-22,7.9,Transport,1.5
May-22,7.9,Recreation and culture,0.54
May-22,7.9,Restaurants and hotels,0.64
May-22,7.9,Other goods and services,0.44
Jun-22,8.2,Food and non-alcoholic beverages,0.89
Jun-22,8.2,Alcohol and tobacco,0.18
Jun-22,8.2,Clothing and footwear,0.35
Jun-22,8.2,Housing and household services,2.82
Jun-22,8.2,Furniture and household goods,0.59
Jun-22,8.2,Transport,1.64
Jun-22,8.2,Recreation and culture,0.52
Jun-22,8.2,Restaurants and hotels,0.73
Jun-22,8.2,Other goods and services,0.46
Jul-22,8.8,Food and non-alcoholic beverages,1.15
Jul-22,8.8,Alcohol and tobacco,0.2
Jul-22,8.8,Clothing and footwear,0.39
Jul-22,8.8,Housing and household services,2.91
Jul-22,8.8,Furniture and household goods,0.56
Jul-22,8.8,Transport,1.66
Jul-22,8.8,Recreation and culture,0.6
Jul-22,8.8,Restaurants and hotels,0.78
Jul-22,8.8,Other goods and services,0.52
Aug-22,8.6,Food and non-alcoholic beverages,1.2
Aug-22,8.6,Alcohol and tobacco,0.21
Aug-22,8.6,Clothing and footwear,0.43
Aug-22,8.6,Housing and household services,2.9
Aug-22,8.6,Furniture and household goods,0.58
Aug-22,8.6,Transport,1.36
Aug-22,8.6,Recreation and culture,0.57
Aug-22,8.6,Restaurants and hotels,0.79
Aug-22,8.6,Other goods and services,0.58
Sep-22,8.8,Food and non-alcoholic beverages,1.33
Sep-22,8.8,Alcohol and tobacco,0.21
Sep-22,8.8,Clothing and footwear,0.46
Sep-22,8.8,Housing and household services,2.94
Sep-22,8.8,Furniture and household goods,0.63
Sep-22,8.8,Transport,1.2
Sep-22,8.8,Recreation and culture,0.56
Sep-22,8.8,Restaurants and hotels,0.87
Sep-22,8.8,Other goods and services,0.61
Oct-22,9.6,Food and non-alcoholic beverages,1.48
Oct-22,9.6,Alcohol and tobacco,0.23
Oct-22,9.6,Clothing and footwear,0.45
Oct-22,9.6,Housing and household services,3.68
Oct-22,9.6,Furniture and household goods,0.63
Oct-22,9.6,Transport,1.02
Oct-22,9.6,Recreation and culture,0.62
Oct-22,9.6,Restaurants and hotels,0.88
Oct-22,9.6,Other goods and services,0.6
